iata;type;name;coordinates;timezone;parent_name;City
SYU;city;Sue Island;-10.2062467:142.827248;Australia/Lindeman;Australia;Sue Island
GRH;city;Garuahi;-10.22:150.47;Pacific/Port_Moresby;Papua New Guinea;Garuahi
KAA;city;Kasama;-10.22:31.13;Africa/Lusaka;Zambia;Kasama
KUG;city;Kubin Island;-10.2286368:142.2237175;Australia/Lindeman;Australia;Kubin Island
MYW;city;Mtwara;-10.27479:40.183891;Africa/Dar_es_Salaam;Tanzania;Mtwara
MAP;city;Mamai;-10.28:149.52;Pacific/Port_Moresby;Papua New Guinea;Mamai
AZB;city;Amazon Bay;-10.3:149.33;Pacific/Port_Moresby;Papua New Guinea;Amazon Bay
JRN;city;Juruena;-10.31:-58.49;America/Cuiaba;Brazil;Juruena
GUR;city;Alotau;-10.31:150.33;Pacific/Port_Moresby;Papua New Guinea;Alotau
BAP;city;Baibara;-10.33:149.63;Africa/Bamako;Papua New Guinea;Baibara
KEC;city;Kasenga;-10.35:28.63;Africa/Lubumbashi;Democratic Republic of the Congo;Kasenga
NCH;city;Nachingwea;-10.36:38.78;Africa/Dar_es_Salaam;Tanzania;Nachingwea
MHX;city;Manihiki Island;-10.4274645:-160.9903438;Pacific/Rarotonga;Cook Islands;Manihiki Island
XCH;city;Christmas Island;-10.447525:105.690449;;Christmas Island;Christmas Island
IRA;city;Kirakira;-10.4496622:161.8969345;Pacific/Guadalcanal;Solomon Islands;Kirakira
STZ;city;Santa Terezinha;-10.4608105:-50.5129129;America/Fortaleza;Brazil;Santa Terezinha
SEI;city;Senhor Do Bonfim;-10.4659398:-40.1808004;America/Bahia;Brazil;Senhor Do Bonfim
SGJ;city;Sagarai;-10.47:150.15;Pacific/Port_Moresby;Papua New Guinea;Sagarai
SAU;city;Sawu;-10.5:121.83;Asia/Makassar;Indonesia;Sawu
TIS;city;Thursday Island;-10.579887:142.2184918;Australia/Lindeman;Australia;Thursday Island
LNQ;city;Loani;-10.58:150.58;Pacific/Port_Moresby;Papua New Guinea;Loani
CEH;city;Chelinda;-10.58:33.8;Africa/Blantyre;Malawi;Chelinda
HID;city;Horn Island;-10.6:142.2833333;Australia/Brisbane;Australia;Horn Island
CFO;city;Confreza;-10.633333:-51.566667;America/Rio_Branco;Brazil;Confreza
MIS;city;Misima Island;-10.6702761:152.7206315;Pacific/Port_Moresby;Papua New Guinea;Misima Island
SGX;city;Songea;-10.68:35.58;Africa/Dar_es_Salaam;Tanzania;Songea
